,DYN-HUMAN,DYN-RANDOM,LINRS,NRS,STATIC-HUMAN,STATIC-RANDOM,AC,DYN-HUMAN-P0,DYN-HUMAN-P1,DYN-HUMAN-P2,DYN-HUMAN-P3,DYN-HUMAN-P4,DYN-HUMAN-P5,DYN-HUMAN-P6,DYN-HUMAN-P7,DYN-HUMAN-P8,DYN-HUMAN-P9,STATIC-HUMAN-P0,STATIC-HUMAN-P1,STATIC-HUMAN-P2,STATIC-HUMAN-P3,STATIC-HUMAN-P4,STATIC-HUMAN-P5,STATIC-HUMAN-P6,STATIC-HUMAN-P7,STATIC-HUMAN-P8,STATIC-HUMAN-P9,STATIC-1,STATIC-10,STATIC-100,STATIC-1000,STATIC-10000
0,18,52,250.0,125,32.0,31.0,29.0,40.0,43.0,59.0,90.0,43.0,42.0,10.0,100.0,18.0,53.0,42.0,21.0,42.0,43.0,59.0,32.0,14.0,77.0,33.0,19.0,224.0,99.0,68.0,42.0,113.0
1,10,22,22.0,209,42.0,53.0,85.0,63.0,46.0,14.0,62.0,24.0,24.0,250.0,40.0,50.0,74.0,48.0,57.0,12.0,19.0,80.0,23.0,250.0,23.0,34.0,55.0,85.0,250.0,34.0,48.0,20.0
2,90,62,61.0,192,21.0,61.0,67.0,39.0,14.0,20.0,15.0,19.0,120.0,250.0,50.0,59.0,28.0,45.0,11.0,34.0,140.0,31.0,69.0,32.0,19.0,73.0,89.0,34.0,31.0,115.0,45.0,250.0
3,62,60,20.0,53,57.0,45.0,39.0,103.0,52.0,24.0,62.0,23.0,14.0,36.0,129.0,93.0,10.0,39.0,21.0,64.0,79.0,10.0,83.0,45.0,100.0,31.0,47.0,50.0,93.0,125.0,39.0,250.0
4,59,29,61.0,91,23.0,9.0,28.0,19.0,50.0,66.0,57.0,66.0,28.0,31.0,25.0,59.0,23.0,51.0,11.0,61.0,92.0,28.0,23.0,79.0,51.0,18.0,42.0,39.0,14.0,34.0,51.0,46.0
5,250,43,124.0,47,19.0,119.0,250.0,48.0,53.0,9.0,31.0,61.0,74.0,34.0,8.0,87.0,20.0,24.0,51.0,113.0,52.0,39.0,65.0,15.0,75.0,83.0,99.0,191.0,40.0,68.0,24.0,18.0
6,14,43,162.0,161,33.0,51.0,22.0,53.0,75.0,18.0,26.0,19.0,117.0,122.0,17.0,80.0,60.0,11.0,87.0,99.0,148.0,14.0,16.0,69.0,70.0,39.0,19.0,250.0,8.0,25.0,11.0,44.0
7,15,19,13.0,48,69.0,61.0,250.0,66.0,17.0,63.0,14.0,19.0,39.0,76.0,160.0,37.0,69.0,119.0,216.0,47.0,33.0,133.0,19.0,40.0,41.0,30.0,63.0,164.0,27.0,15.0,119.0,37.0
8,40,121,142.0,209,83.0,104.0,31.0,73.0,20.0,42.0,250.0,11.0,46.0,87.0,6.0,20.0,67.0,40.0,19.0,39.0,34.0,40.0,91.0,24.0,32.0,52.0,11.0,250.0,43.0,1.0,40.0,16.0
9,100,81,47.0,174,23.0,32.0,228.0,127.0,50.0,110.0,119.0,65.0,168.0,49.0,250.0,83.0,45.0,64.0,10.0,105.0,40.0,89.0,21.0,9.0,16.0,24.0,63.0,14.0,28.0,84.0,64.0,47.0
10,250,153,133.0,21,34.0,25.0,53.0,57.0,58.0,31.0,50.0,57.0,75.0,45.0,49.0,31.0,9.0,45.0,176.0,55.0,19.0,138.0,250.0,22.0,11.0,55.0,19.0,13.0,14.0,250.0,45.0,250.0
11,63,45,80.0,119,12.0,95.0,37.0,28.0,59.0,19.0,37.0,37.0,150.0,109.0,93.0,24.0,34.0,85.0,64.0,54.0,28.0,29.0,40.0,53.0,51.0,59.0,49.0,53.0,38.0,48.0,85.0,250.0
12,42,94,250.0,25,65.0,96.0,34.0,29.0,34.0,52.0,28.0,43.0,40.0,19.0,32.0,13.0,36.0,73.0,66.0,18.0,94.0,77.0,59.0,228.0,16.0,76.0,74.0,104.0,25.0,59.0,73.0,69.0
13,43,135,33.0,20,42.0,50.0,114.0,250.0,84.0,151.0,13.0,37.0,51.0,153.0,20.0,81.0,63.0,118.0,33.0,68.0,21.0,84.0,16.0,13.0,135.0,92.0,250.0,115.0,86.0,100.0,118.0,250.0
14,20,250,40.0,191,11.0,51.0,88.0,32.0,55.0,20.0,44.0,31.0,27.0,107.0,131.0,89.0,51.0,57.0,43.0,24.0,22.0,30.0,9.0,43.0,24.0,60.0,18.0,88.0,250.0,31.0,57.0,144.0
15,36,75,37.0,200,21.0,66.0,50.0,51.0,61.0,57.0,61.0,139.0,25.0,74.0,50.0,26.0,44.0,51.0,6.0,27.0,64.0,41.0,44.0,250.0,65.0,66.0,43.0,80.0,120.0,8.0,51.0,250.0
16,24,34,77.0,72,34.0,36.0,250.0,22.0,44.0,70.0,35.0,46.0,37.0,41.0,56.0,21.0,58.0,59.0,62.0,46.0,138.0,9.0,30.0,24.0,32.0,40.0,56.0,65.0,57.0,21.0,59.0,19.0
17,50,59,28.0,243,64.0,87.0,45.0,82.0,37.0,47.0,62.0,54.0,106.0,12.0,27.0,28.0,8.0,86.0,250.0,33.0,73.0,26.0,73.0,21.0,42.0,30.0,21.0,250.0,48.0,250.0,86.0,250.0
18,31,27,230.0,25,48.0,22.0,99.0,41.0,32.0,11.0,49.0,49.0,100.0,64.0,17.0,145.0,72.0,79.0,68.0,135.0,128.0,21.0,64.0,33.0,20.0,54.0,49.0,250.0,250.0,41.0,79.0,150.0
19,24,24,181.0,250,55.0,12.0,24.0,60.0,38.0,18.0,57.0,17.0,61.0,39.0,234.0,72.0,41.0,86.0,158.0,250.0,13.0,68.0,67.0,21.0,68.0,51.0,25.0,76.0,107.0,114.0,86.0,20.0
20,34,73,98.0,114,14.0,250.0,42.0,45.0,33.0,142.0,68.0,177.0,38.0,12.0,88.0,70.0,22.0,106.0,250.0,44.0,64.0,18.0,31.0,87.0,27.0,20.0,99.0,75.0,30.0,50.0,106.0,11.0
21,43,148,250.0,250,61.0,250.0,250.0,44.0,11.0,19.0,106.0,25.0,250.0,71.0,51.0,82.0,17.0,50.0,49.0,147.0,19.0,38.0,38.0,30.0,99.0,36.0,38.0,46.0,65.0,38.0,50.0,44.0
22,24,26,23.0,160,45.0,250.0,111.0,19.0,37.0,250.0,101.0,54.0,70.0,40.0,93.0,68.0,57.0,34.0,42.0,47.0,41.0,71.0,250.0,1.0,54.0,102.0,63.0,250.0,250.0,250.0,34.0,32.0
23,40,27,17.0,20,77.0,107.0,154.0,64.0,52.0,116.0,35.0,63.0,63.0,37.0,122.0,44.0,10.0,15.0,58.0,50.0,24.0,30.0,57.0,71.0,106.0,29.0,250.0,39.0,20.0,18.0,15.0,45.0
24,62,97,16.0,46,73.0,41.0,29.0,77.0,20.0,20.0,57.0,45.0,92.0,20.0,23.0,55.0,76.0,57.0,93.0,17.0,94.0,48.0,68.0,28.0,79.0,27.0,44.0,185.0,60.0,105.0,57.0,175.0
25,122,18,149.0,11,89.0,26.0,24.0,61.0,16.0,51.0,192.0,36.0,54.0,14.0,64.0,38.0,23.0,24.0,104.0,39.0,43.0,39.0,86.0,22.0,54.0,30.0,22.0,55.0,63.0,18.0,24.0,74.0
26,59,149,43.0,210,16.0,11.0,20.0,135.0,15.0,12.0,38.0,22.0,117.0,50.0,115.0,110.0,50.0,50.0,34.0,250.0,22.0,51.0,59.0,56.0,52.0,26.0,186.0,18.0,250.0,46.0,50.0,11.0
27,93,114,95.0,49,11.0,49.0,22.0,98.0,27.0,159.0,12.0,90.0,46.0,34.0,250.0,43.0,82.0,61.0,66.0,85.0,67.0,38.0,65.0,35.0,1.0,19.0,47.0,250.0,15.0,21.0,61.0,85.0
28,50,31,171.0,62,43.0,36.0,14.0,29.0,31.0,84.0,21.0,89.0,89.0,250.0,8.0,59.0,109.0,18.0,250.0,1.0,128.0,25.0,16.0,21.0,23.0,55.0,40.0,250.0,211.0,11.0,18.0,19.0
29,53,40,95.0,48,113.0,34.0,20.0,35.0,33.0,32.0,71.0,29.0,19.0,32.0,102.0,37.0,16.0,250.0,42.0,250.0,85.0,81.0,34.0,250.0,177.0,136.0,38.0,60.0,250.0,66.0,250.0,37.0
30,46,28,86.0,182,59.0,19.0,42.0,8.0,17.0,57.0,25.0,114.0,28.0,46.0,21.0,43.0,47.0,13.0,12.0,102.0,10.0,62.0,8.0,55.0,34.0,28.0,24.0,80.0,123.0,14.0,13.0,250.0
